"facet_id";"facet_name";"facet_unit";"parent_id";"rubric_id";"sort_index";"key";"important";"type";"date_insert";"date_update";"user_id"
"1";"Количество листов";"";"0";"1448";"1";"1";"1";"number";"2016-07-04 17:10:57";\N;"0"
"4952";"Диаметр шланга";" """;"0";"3375";"3";"0";"0";"string";"2017-04-28 17:50:20";"2017-04-28 17:51:16";"95"
"10803";"Емкость аккумулятора";" Ач";"0";"4215";"6";"0";"1";"number";"2018-05-17 12:22:41";"2018-05-24 15:26:25";"95"
"4062";"Давление max";" бар";"0";"3362";"4";"0";"1";"number";"2017-03-15 17:15:00";"2017-10-10 15:56:01";"95"
"167";"Размер дисплея";"""";"0";"1258";"5";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"350";"Белизна по CIE";"%";"0";"785";"3";"0";"1";"string";"2016-07-04 17:10:57";"2018-05-23 10:01:10";"95"
"10350";"Максимальная температура окружающей среды";"&#186;С";"0";"2926";"14";"0";"1";"number";"2018-02-26 16:39:17";"2018-02-26 16:44:19";"95"
"2991";"без насадки";\N;"2990";\N;"0";"0";"0";"bool";"2016-07-08 16:05:03";\N;"0"
"3";"Линовка";"-";"0";"1448";"3";"0";"1";"string";"2016-07-04 17:10:57";\N;"0"
"2524";"Охлаждающая способность";"BTU";"0";"2923";"3";"0";"1";"number";"2016-07-04 17:10:57";"2018-05-17 11:21:27";"95"
"10722";"Длина";"cм";"0";"4209";"20";"0";"1";"number";"2018-04-19 11:25:57";"2018-06-07 15:13:31";"95"
"3320";"Уровень шума";"dBA";"0";"1489";"28";"0";"0";"number";"2016-11-02 16:18:35";"2017-09-29 15:31:04";"1800"
"633";"Разрешение печати";"dpi";"0";"1213";"9";"0";"0";"string";"2016-07-04 17:10:57";"2018-04-06 17:49:55";"95"
"9921";"Светосила";"f";"0";"3066";"7";"0";"1";"number";"2018-02-13 15:06:45";"2018-02-15 14:48:58";"95"
"304";"Объем";"Gb";"0";"1179";"2";"0";"1";"number";"2016-07-04 17:10:57";"2018-02-22 16:29:12";"95"
"1233";"Тактовая частота процессора";"Ghz";"0";"2060";"3";"0";"1";"string";"2016-07-04 17:10:57";\N;"0"
"5403";"Твердость";"HRc";"0";"3425";"3";"0";"1";"number";"2017-05-19 16:43:48";"2018-04-04 17:52:39";"95"
"1238";"Объем памяти видеокарты";"Mb";"0";"2060";"7";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"164";"Кол-во мегапикселей";"Mpix";"0";"1258";"1";"0";"1";"string";"2016-07-04 17:10:57";\N;"0"
"163";"Макс. разрешение";"pix";"0";"1258";"2";"0";"1";"string";"2016-07-04 17:10:57";\N;"0"
"6805";"Плотность пикселей";"ppi";"0";"1402";"11";"0";"1";"number";"2017-10-26 11:24:04";"2018-03-14 12:23:01";"95"
"1210";"Разрешение экрана";"px";"0";"1402";"2";"0";"1";"string";"2016-07-04 17:10:57";"2018-05-23 12:02:29";"352"
"2669";"Реальный угол обзора";"°";"0";"3068";"6";"0";"1";"string";"2016-07-04 17:10:57";"2017-04-20 12:15:23";"95"
"4044";"Максимальная температура";"°C";"0";"3071";"4";"0";"1";"number";"2017-03-15 15:56:22";"2017-03-27 10:18:01";"95"
"5620";"Температура нанесения";"°С";"0";"3444";"6";"0";"1";"string";"2017-05-23 13:06:47";"2017-10-16 14:43:14";"95"
"6923";"Максимальный ток нагрузки";"А";"0";"1146";"4";"0";"1";"number";"2017-10-30 11:33:39";"2018-03-15 16:02:43";"95"
"4927";"Количество уничтожаемых листов";"А4";"0";"2147";"11";"0";"0";"number";"2017-04-28 12:01:09";"2017-04-28 14:24:03";"95"
"5019";"Емкость аккумулятора";"Ач";"0";"1025";"19";"0";"0";"number";"2017-05-04 12:37:07";"2017-05-04 12:49:13";"95"
"3489";"Напряжение";"В";"0";"1255";"4";"0";"1";"number";"2016-11-29 11:37:52";"2017-02-20 10:48:25";"173"
"7169";"Максимальная выходная мощность";"ВА";"0";"1147";"2";"0";"1";"number";"2017-11-09 11:28:17";"2018-03-29 15:51:22";"95"
"435";"Мощность";"Вт";"0";"1014";"1";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"6153";"Запасаемая энергия";"Вт/ч";"0";"1531";"35";"0";"1";"number";"2017-08-01 17:35:03";"2018-05-22 11:19:57";"95"
"10702";"Максимальное энергопотребление за цикл";"Втч";"0";"4209";"5";"0";"1";"number";"2018-04-19 10:50:32";"2018-04-19 11:28:01";"95"
"935";"Размер оперативной памяти";"ГБ";"0";"1531";"12";"0";"1";"number";"2016-07-04 17:10:57";"2018-05-22 11:19:57";"95"
"1510";"Частота процессора";"ГГЦ";"0";"2284";"8";"0";"1";"number";"2016-07-04 17:10:57";"2018-03-05 12:14:18";"95"
"2381";"Диапазон частот";"Гц";"0";"1144";"3";"0";"1";"string";"2016-07-04 17:10:57";"2017-06-26 15:23:44";"95"
